scope,district,money,n,p_value,r_squared
all districts,,fundraising,65,7.895610087266111e-10,0.4535487780688794
district,1.0,fundraising,13,1.3593042723624504e-05,0.8327378066129159
district,2.0,fundraising,20,0.001915528655145443,0.42263312507938866
district,3.0,fundraising,15,0.00010143083903458985,0.6997386256733386
district,4.0,fundraising,17,0.024572089378534785,0.2938903144420585
all districts,,total_spending,65,7.560392643845122e-10,0.45428764753453255
district,1.0,total_spending,11,0.00020414175493762082,0.7996483976320565
district,2.0,total_spending,19,0.004581663765748176,0.3851084138552563
district,3.0,total_spending,16,0.001198455568682945,0.5392387525687965
district,4.0,total_spending,19,0.0034898020219115197,0.40320265940922684
